FID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,POINT_X,POINT_Y
154,GERO,George Rogers Clark National Historical Park,8/18/2010 0:00:00,IN,MW,447197,National Historical Park,Lands,George Rogers Clark,-87.537007690999999,38.678402130000002
155,LONG,Longfellow House-Washington's Headquarters National Historic Site,4/18/2011 0:00:00,MA,NE,2733437,National Historic Site,Lands,Longfellow,-71.126369560000001,42.376988535999999
156,HOFU,Hopewell Furnace National Historic Site,8/17/2011 0:00:00,PA,NE,1193717,National Historic Site,Lands,Hopewell Furnace,-75.768116152000005,40.206073461000003
157,FRDE,Franklin Delano Roosevelt Memorial,9/26/2011 0:00:00,DC,NC,1877541,National Memorial,Lands,Franklin Delano Roosevelt,-77.043115424000007,38.883412741999997
158,MOCA,Montezuma Castle National Monument,9/20/2011 0:00:00,AZ,IM,31964,National Monument,Lands,Montezuma Castle,-111.836615308999995,34.611020773000000
159,KICA,Kings Canyon National Park,10/17/2011 0:00:00,CA,PW,255948,National Park,Lands,Kings Canyon,-118.587331108000001,36.899085004000000
160,SPAR,Springfield Armory National Historic Site,10/18/2011 0:00:00,MA,NE,1888963,National Historic Site,Lands,Springfield Armory,-72.581125589999999,42.108304394000001
161,WHMI,Whitman Mission National Historic Site,10/27/2011 0:00:00,WA,PW,1531185,National Historic Site,Lands,Whitman Mission,-118.465487564000000,46.042650950999999
162,WWII,World War II Memorial,11/3/2011 0:00:00,DC,NC,1989142,National Memorial,Lands,World War II Memorial,-77.040375896000000,38.889239175999997
163,VIVE,Vietnam Veterans Memorial,11/3/2011 0:00:00,DC,NC,531832,National Memorial,Lands,Vietnam Veterans,-77.047657353999995,38.890962967000000
164,KOWA,Korean War Veterans Memorial,11/3/2011 0:00:00,DC,NC,1985525,National Memorial,Lands,Korean War Veterans,-77.048077335000002,38.887921329999998
165,COGA,Constitution Gardens,11/3/2011 0:00:00,DC,NC,530610,Other Designation,Lands,Constitution Gardens,-77.044266581000002,38.890936740999997
166,MLKM,"Martin Luther King, Jr., Memorial",11/4/2011 0:00:00,DC,NC,2002666,Other Designation,Lands,Martin Luther King Jr,-77.044397066000002,38.886282094000002
167,LINC,Lincoln Memorial,11/4/2011 0:00:00,DC,NC,531835,National Memorial,Lands,Lincoln,-77.050177778999995,38.889272296000001
168,MALL,National Mall,10/6/2011 0:00:00,DC,NC,2733438,Other Designation,Lands,National Mall,-77.022784392000005,38.889866052999999
169,RUCA,Russell Cave National Monument,11/2/2011 0:00:00,AL,SE,126026,National Monument,Lands,Russell Cave,-85.818586480999997,34.970839310000002
170,MAWA,Maggie L. Walker National Historic Site,11/30/2011 0:00:00,VA,NE,1780716,National Historic Site,Lands,Maggie L. Walker,-77.436748077000004,37.547328249000003
